,name,city,state,search_string,url,geocode,lat,lon
0,Bici Coop,Birmingham,Alabama,"Bici Coop, Birmingham, Alabama",https://www.bikecollectives.org/wiki/Bici_Coop,"(33.45177049999999, -86.72907)",33.45177049999999,-86.72907
1,Delta Bike Project,Mobile,Alabama,"Delta Bike Project, Mobile, Alabama",https://www.bikecollectives.org/wiki/Delta_Bike_Project,"(30.6901266, -88.0498154)",30.6901266,-88.0498154
2,University of Alaska at Anchorage Bike Club,Anchorage,Alaska,"University of Alaska at Anchorage Bike Club, Anchorage, Alaska",https://www.bikecollectives.org/wiki/University_of_Alaska_at_Anchorage_Bike_Club,"(61.1910421, -149.8195598)",61.1910421,-149.8195598
3,Off the Chain Bicycle Collective,Anchorage,Alaska,"Off the Chain Bicycle Collective, Anchorage, Alaska",https://www.bikecollectives.org/wiki/Off_the_Chain_Bicycle_Collective,"(61.1900661, -149.9102673)",61.1900661,-149.9102673
4,Bike City Recyclery,Fayetteville,Arkansas,"Bike City Recyclery, Fayetteville, Arkansas",https://www.bikecollectives.org/wiki/Bike_City_Recyclery,"(36.1177482, -94.14381399999999)",36.1177482,-94.14381399999999
5,Pedal It Forward,"Bentonville, Rogers",Arkansas,"Pedal It Forward, Bentonville, Rogers, Arkansas",https://www.bikecollectives.org/wiki/Pedal_It_Forward,"(36.4229136, -94.221336)",36.4229136,-94.221336
6,Recycles Bike Co-op,Little Rock,Arkansas,"Recycles Bike Co-op, Little Rock, Arkansas",https://www.bikecollectives.org/wiki/Recycles_Bike_Co-op,"(34.7631602, -92.25957439999999)",34.7631602,-92.25957439999999
7,South Side Mutual Aid Toward Independent Youth Bicycle Education Project,Flagstaff,Arizona,"South Side Mutual Aid Toward Independent Youth Bicycle Education Project, Flagstaff, Arizona",https://www.bikecollectives.org/wiki/South_Side_Mutual_Aid_Toward_Independent_Youth_Bicycle_Education_Project,"(35.1982836, -111.651302)",35.1982836,-111.651302
8,BICAS,Tucson,Arizona,"BICAS, Tucson, Arizona",https://www.bikecollectives.org/wiki/BICAS,"(32.2462558, -110.9707616)",32.2462558,-110.9707616
9,Helping Understand Bicycles,Prescott,Arizona,"Helping Understand Bicycles, Prescott, Arizona",https://www.bikecollectives.org/wiki/Helping_Understand_Bicycles,"(34.54519, -112.462697)",34.54519,-112.462697
10,Bike Saviours Bicycle Collective,Tempe,Arizona,"Bike Saviours Bicycle Collective, Tempe, Arizona",https://www.bikecollectives.org/wiki/Bike_Saviours_Bicycle_Collective,"(33.4258547, -111.9050966)",33.4258547,-111.9050966
11,The Rusty Spoke,Phoenix,Arizona,"The Rusty Spoke, Phoenix, Arizona",https://www.bikecollectives.org/wiki/The_Rusty_Spoke,"(33.455768, -112.087223)",33.455768,-112.087223
12,Changing Gears Bike Shop,Alameda,California,"Changing Gears Bike Shop, Alameda, California",https://www.bikecollectives.org/wiki/Changing_Gears_Bike_Shop,"(37.7842669, -122.2992069)",37.7842669,-122.2992069
13,Arcata Library Bikes,Arcata,California,"Arcata Library Bikes, Arcata, California",https://www.bikecollectives.org/wiki/Arcata_Library_Bikes,"(40.8728157, -124.0898774)",40.8728157,-124.0898774
14,The Bicycle Tree,Santa Ana,California,"The Bicycle Tree, Santa Ana, California",https://www.bikecollectives.org/w/index.php?title=The_Bicycle_Tree&action=edit&redlink=1,"(33.7597312, -117.8748809)",33.7597312,-117.8748809
15,BicyCAL,Berkeley,California,"BicyCAL, Berkeley, California",https://www.bikecollectives.org/wiki/BicyCAL,"(37.8713136, -122.2591478)",37.8713136,-122.2591478
16,Waterside Workshops,Berkeley,California,"Waterside Workshops, Berkeley, California",https://www.bikecollectives.orghttps://shop.watersideworkshops.org/,"(37.8641586, -122.3014614)",37.8641586,-122.3014614
17,The Green Bike Program,"Pitzer College, Claremont",California,"The Green Bike Program, Pitzer College, Claremont, California",https://www.bikecollectives.org/wiki/The_Green_Bike_Program,"(34.1042832, -117.7050738)",34.1042832,-117.7050738
18,Bike Concord,Concord,California,"Bike Concord, Concord, California",https://www.bikecollectives.org/wiki/Bike_Concord,"(37.9803419, -122.0267236)",37.9803419,-122.0267236
19,The Davis Bike Collective,Davis,California,"The Davis Bike Collective, Davis, California",https://www.bikecollectives.org/wiki/The_Davis_Bike_Collective,"(38.5473802, -121.7344863)",38.5473802,-121.7344863
20,Bike Garage,"Woodland, Davis",California,"Bike Garage, Woodland, Davis, California",https://www.bikecollectives.orghttps://www.thebikecampaign.com/the-bike-garage,"(38.561081, -121.7379842)",38.561081,-121.7379842
21,Bicycle Kitchen,"East Hollywood, Los Angeles",California,"Bicycle Kitchen, East Hollywood, Los Angeles, California",https://www.bikecollectives.org/wiki/Bicycle_Kitchen_(Los_Angeles),"(34.0959234, -118.2862334)",34.0959234,-118.2862334
22,Bike Oven,"Highland Park, Los Angeles",California,"Bike Oven, Highland Park, Los Angeles, California",https://www.bikecollectives.org/wiki/Bike_Oven,"(34.0901015, -118.2121743)",34.0901015,-118.2121743
23,Bikerowave,"Mar Vista, Los Angeles",California,"Bikerowave, Mar Vista, Los Angeles, California",https://www.bikecollectives.org/wiki/Bikerowave,"(34.0045672, -118.432409)",34.0045672,-118.432409
24,Valley Bikery,"Van Nuys, Los Angeles",California,"Valley Bikery, Van Nuys, Los Angeles, California",https://www.bikecollectives.org/wiki/Valley_Bikery,"(34.1932242, -118.4654517)",34.1932242,-118.4654517
25,Burbike Workspace,"Burbank, Los Angeles",California,"Burbike Workspace, Burbank, Los Angeles, California",https://www.bikecollectives.org/wiki/Burbike_Workspace,"(34.1799474, -118.3093277)",34.1799474,-118.3093277
26,Bikery,Oakland,California,"Bikery, Oakland, California","https://www.bikecollectives.org/wiki/Bikery_(Oakland,_CA,_USA)","(37.7830556, -122.2361111)",37.7830556,-122.2361111
27,Spokeland,Oakland,California,"Spokeland, Oakland, California",https://www.bikecollectives.org/wiki/Spokeland,"(37.8266393, -122.2723082)",37.8266393,-122.2723082
28,Ontario Wheel House,Ontario,California,"Ontario Wheel House, Ontario, California",https://www.bikecollectives.org/wiki/Ontario_Wheel_House,"(34.0632779, -117.548642)",34.0632779,-117.548642
29,Silicon Valley Bicycle Exchange,Palo Alto,California,"Silicon Valley Bicycle Exchange, Palo Alto, California",https://www.bikecollectives.org/wiki/Silicon_Valley_Bicycle_Exchange,"(37.4306114, -122.1030848)",37.4306114,-122.1030848
30,Caltech Bike Lab,"Caltech, Pasadena",California,"Caltech Bike Lab, Caltech, Pasadena, California",https://www.bikecollectives.org/wiki/Caltech_Bike_Lab,"(34.1361311, -118.1230425)",34.1361311,-118.1230425
31,The Bicycle Lounge,Riverside,California,"The Bicycle Lounge, Riverside, California",https://www.bikecollectives.org/wiki/The_Bicycle_Lounge,"(36.3671757, -94.210651)",36.3671757,-94.210651
32,Sacramento Bicycle Kitchen,Sacramento,California,"Sacramento Bicycle Kitchen, Sacramento, California",https://www.bikecollectives.org/wiki/Sacramento_Bicycle_Kitchen,"(38.5783633, -121.4799635)",38.5783633,-121.4799635
