,name,city,state,search_string,url,geocode,lat,lon
0,Anza Borrego Desert State Park,,California,"Anza Borrego Desert State Park, California",https://www.parks.ca.gov/?page_id=638,"(33.100492, -116.3013266)",33.100492,-116.3013266
1,Big Basin Redwoods State Park,,California,"Big Basin Redwoods State Park, California",https://www.parks.ca.gov/?page_id=540,"(37.1666329, -122.2509729)",37.1666329,-122.2509729
2,Bothe Napa Valley State Park,,California,"Bothe Napa Valley State Park, California",https://www.parks.ca.gov/?page_id=477,"(38.5429637, -122.5374817)",38.5429637,-122.5374817
3,Brannan Island State Recreation Area,,California,"Brannan Island State Recreation Area, California",https://www.parks.ca.gov/?page_id=487,"(38.1102102, -121.696818)",38.1102102,-121.696818
4,Candlestick Point State Recreation Area,,California,"Candlestick Point State Recreation Area, California",https://www.parks.ca.gov/?page_id=519,"(37.7127107, -122.3815252)",37.7127107,-122.3815252
5,Carpinteria State Beach,,California,"Carpinteria State Beach, California",https://www.parks.ca.gov/?page_id=599,"(34.3930467, -119.5242547)",34.3930467,-119.5242547
6,Castle Crags State Park,,California,"Castle Crags State Park, California",https://www.parks.ca.gov/?page_id=454,"(41.1482103, -122.3213725)",41.1482103,-122.3213725
7,Castle Rock State Park,,California,"Castle Rock State Park, California",https://www.parks.ca.gov/?page_id=538,"(37.22982349999999, -122.1252175)",37.22982349999999,-122.1252175
8,Caswell Memorial State Park,,California,"Caswell Memorial State Park, California",https://www.parks.ca.gov/?page_id=557,"(37.693819, -121.1874767)",37.693819,-121.1874767
9,China Camp State Park,,California,"China Camp State Park, California",https://www.parks.ca.gov/?page_id=466,"(38.0012549, -122.4910712)",38.0012549,-122.4910712
10,Clear Lake State Park,,California,"Clear Lake State Park, California",https://www.parks.ca.gov/?page_id=473,"(39.0106312, -122.8139383)",39.0106312,-122.8139383
11,D  L  Bliss State Park,,California,"D  L  Bliss State Park, California",https://www.parks.ca.gov/?page_id=505,"(38.97789909999999, -120.1027489)",38.97789909999999,-120.1027489
