,name,city,state,search_string,url,geocode,lat,lon
0,Alta Lake State Park,,Washington,"Alta Lake State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Alta-Lake-State-Park-3,"(48.0282795, -119.9395251)",48.0282795,-119.9395251
1,Battle Ground Lake State Park,,Washington,"Battle Ground Lake State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Battle-Ground-Lake-State-Park-63,"(45.803864, -122.4907989)",45.803864,-122.4907989
2,Bay View State Park,,Washington,"Bay View State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Bay-View-State-Park-64,"(48.4886152, -122.4787422)",48.4886152,-122.4787422
3,Beacon Rock State Park,,Washington,"Beacon Rock State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Beacon-Rock-State-Park-65,"(45.6279327, -122.0240471)",45.6279327,-122.0240471
4,Belfair State Park,,Washington,"Belfair State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Belfair-State-Park-66,"(47.4289813, -122.8778593)",47.4289813,-122.8778593
5,Birch Bay State Park,,Washington,"Birch Bay State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Birch-Bay-State-Park-1,"(48.9034055, -122.7656836)",48.9034055,-122.7656836
6,Bridgeport State Park,,Washington,"Bridgeport State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Bridgeport-State-Park-71,"(48.0125486, -119.6163821)",48.0125486,-119.6163821
7,Brooks Memorial State Park,,Washington,"Brooks Memorial State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Brooks-Memorial-State-Park-73,"(45.9502205, -120.6658682)",45.9502205,-120.6658682
8,Camano Island State Park,,Washington,"Camano Island State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Camano-Island-State-Park-75,"(48.1226072, -122.4932435)",48.1226072,-122.4932435
9,Cape Disappointment State Park,,Washington,"Cape Disappointment State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Cape-Disappointment-State-Park-76,"(46.28982240000001, -124.0604319)",46.28982240000001,-124.0604319
10,Columbia Hills State Park,,Washington,"Columbia Hills State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Columbia-Hills-State-Park-79,"(45.642663, -121.1055748)",45.642663,-121.1055748
11,Columbia Plateau State Park Trail,,Washington,"Columbia Plateau State Park Trail, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Columbia-Plateau-State-Park-Trail-80,"(46.7245892, -118.357234)",46.7245892,-118.357234
12,Conconully State Park,,Washington,"Conconully State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Conconully-State-Park-81,"(48.5565218, -119.7513376)",48.5565218,-119.7513376
13,Curlew Lake State Park,,Washington,"Curlew Lake State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Curlew-Lake-State-Park-83,"(48.7189336, -118.6607005)",48.7189336,-118.6607005
14,Daroga State Park,,Washington,"Daroga State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Daroga-State-Park-85,"(47.7092379, -120.2022753)",47.7092379,-120.2022753
15,Deception Pass State Park,,Washington,"Deception Pass State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Deception-Pass-State-Park-87,"(48.4061353, -122.6443875)",48.4061353,-122.6443875
16,Fort Casey State Park,,Washington,"Fort Casey State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Fort-Casey-State-Park-95,"(48.16444, -122.6775001)",48.16444,-122.6775001
17,Fort Ebey State Park,,Washington,"Fort Ebey State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Fort-Ebey-State-Park-97,"(48.21862, -122.7545574)",48.21862,-122.7545574
18,Fort Flagler State Park,,Washington,"Fort Flagler State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Fort-Flagler-State-Park-98,"(48.09531620000001, -122.7025048)",48.09531620000001,-122.7025048
19,Fort Townsend State Park,,Washington,"Fort Townsend State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Fort-Townsend-State-Park-100,"(48.0739451, -122.795671)",48.0739451,-122.795671
20,Fort Worden State Park,,Washington,"Fort Worden State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Fort-Worden-State-Park-101,"(48.1391503, -122.7694487)",48.1391503,-122.7694487
21,Ginkgo Petrified Forest / Wanapum Recreational Area,,Washington,"Ginkgo Petrified Forest / Wanapum Recreational Area, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Ginkgo-Petrified-Forest-Wanapum-Recreati-12,"(46.9195556, -119.9934804)",46.9195556,-119.9934804
22,Grayland Beach State Park,,Washington,"Grayland Beach State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Grayland-Beach-State-Park-103,"(46.7927682, -124.0913511)",46.7927682,-124.0913511
23,Hope Island State Park - Mason County,,Washington,"Hope Island State Park - Mason County, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Hope-Island-State-Park-Mason-County-105,"(47.1870595, -122.9285144)",47.1870595,-122.9285144
24,Hope Island State Park - Skagit County,,Washington,"Hope Island State Park - Skagit County, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Hope-Island-State-Park-Skagit-County-106,"(48.3987503, -122.5697851)",48.3987503,-122.5697851
25,Ike Kinswa State Park,,Washington,"Ike Kinswa State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Ike-Kinswa-State-Park-107,"(46.55415499999999, -122.5301129)",46.55415499999999,-122.5301129
26,Illahee State Park,,Washington,"Illahee State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Illahee-State-Park-108,"(47.59735879999999, -122.5974215)",47.59735879999999,-122.5974215
27,Jarrell Cove State Park,,Washington,"Jarrell Cove State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Jarrell-Cove-State-Park-111,"(47.2844399, -122.883435)",47.2844399,-122.883435
28,Joemma Beach State Park,,Washington,"Joemma Beach State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Joemma-Beach-State-Park-112,"(47.2260538, -122.8056595)",47.2260538,-122.8056595
29,Kanaskat-Palmer State Park,,Washington,"Kanaskat-Palmer State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/KanaskatPalmer-State-Park-115,"(47.31214300000001, -121.8987929)",47.31214300000001,-121.8987929
30,Kitsap Memorial State Park,,Washington,"Kitsap Memorial State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Kitsap-Memorial-State-Park-117,"(47.817918, -122.6509929)",47.817918,-122.6509929
31,Lake Chelan State Park,,Washington,"Lake Chelan State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Lake-Chelan-State-Park-119,"(47.8731146, -120.1970192)",47.8731146,-120.1970192
32,Lake Easton State Park,,Washington,"Lake Easton State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Lake-Easton-State-Park-120,"(47.2541528, -121.2000822)",47.2541528,-121.2000822
33,Lake Sylvia State Park,,Washington,"Lake Sylvia State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Lake-Sylvia-State-Park-122,"(47.0005692, -123.5904623)",47.0005692,-123.5904623
34,Larrabee State Park,,Washington,"Larrabee State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Larrabee-State-Park-124,"(48.6605369, -122.4681851)",48.6605369,-122.4681851
35,Lewis & Clark State Park,,Washington,"Lewis & Clark State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Lewis-Clark-State-Park-126,"(46.5218909, -122.8144805)",46.5218909,-122.8144805
36,Lewis & Clark Trail State Park,,Washington,"Lewis & Clark Trail State Park, Washington",https://parks.state.wa.us/Facilities/Facility/Details/Lewis-Clark-Trail-State-Park-127,"(46.2884154, -118.0725089)",46.2884154,-118.0725089
