,name,city,state,search_string,url,geocode,lat,lon
0,Play It Again Sports,Florence,ALABAMA,"Play It Again Sports, Florence, ALABAMA",https://www.playitagainsports.com/locations/florence-al,"(34.8397368, -87.6396987)",34.8397368,-87.6396987
1,Play It Again Sports,Hoover,ALABAMA,"Play It Again Sports, Hoover, ALABAMA",https://www.playitagainsports.com/locations/hoover-al,"(33.38087290000001, -86.8034361)",33.38087290000001,-86.8034361
2,The Hoarding Marmot,Anchorage,ALASKA,"The Hoarding Marmot, Anchorage, ALASKA",https://hoardingmarmot.com/,"(61.1956185, -149.9070508)",61.1956185,-149.9070508
3,Off-the-Chain Bicycle Co-op,Anchorage,ALASKA,"Off-the-Chain Bicycle Co-op, Anchorage, ALASKA",https://www.offthechainak.org/wordpress/,"(61.1900661, -149.9102673)",61.1900661,-149.9102673
4,Second Wind Sports,Juneau,ALASKA,"Second Wind Sports, Juneau, ALASKA",https://www.secondwindsportsak.com/,"(58.3607309, -134.5700382)",58.3607309,-134.5700382
5,Play It Again Sports,Anchorage x2,ALASKA,"Play It Again Sports, Anchorage x2, ALASKA",https://www.playitagainsports.com/locations/anchorage-ak,"(61.196563, -149.905999)",61.196563,-149.905999
6,Play It Again Sports,Fairbanks,ALASKA,"Play It Again Sports, Fairbanks, ALASKA",https://www.playitagainsports.com/locations/fairbanks-ak,"(64.8475436, -147.7077656)",64.8475436,-147.7077656
7,Play It Again Sports,Wasilla,ALASKA,"Play It Again Sports, Wasilla, ALASKA",https://www.playitagainsports.com/locations/wasilla-ak,"(61.56747960000001, -149.3591386)",61.56747960000001,-149.3591386
8,Snow Mountain River (SMR),Flagstaff,ARIZONA,"Snow Mountain River (SMR), Flagstaff, ARIZONA",https://www.snowmountainriver.com/,"(35.1821151, -111.6608833)",35.1821151,-111.6608833
9,Lower Gear Outdoors,Tempe,ARIZONA,"Lower Gear Outdoors, Tempe, ARIZONA",https://www.lowergear.com/,"(33.4212747, -111.8927433)",33.4212747,-111.8927433
10,Play It Again Sports,Goodyear,ARIZONA,"Play It Again Sports, Goodyear, ARIZONA",https://www.playitagainsports.com/locations/goodyear-az,"(33.460906, -112.3597575)",33.460906,-112.3597575
11,Play It Again Sports,Phoenix,ARIZONA,"Play It Again Sports, Phoenix, ARIZONA",https://www.playitagainsports.com/locations/phoenix-az-greenway,"(33.6246856, -112.0146512)",33.6246856,-112.0146512
12,Play It Again Sports,Tempe,ARIZONA,"Play It Again Sports, Tempe, ARIZONA",https://www.playitagainsports.com/locations/tempe-az,"(33.3357924, -111.9085183)",33.3357924,-111.9085183
13,Play It Again Sports,Tucson x3,ARIZONA,"Play It Again Sports, Tucson x3, ARIZONA",https://www.playitagainsports.com/locations/tucson-az-central,"(32.2359969, -110.8909304)",32.2359969,-110.8909304
14,Play It Again Sports,Fayetteville,ARKANSAS,"Play It Again Sports, Fayetteville, ARKANSAS",https://www.playitagainsports.com/locations/fayetteville-ar,"(36.107838, -94.14593839999999)",36.107838,-94.14593839999999
15,Play It Again Sports,Fort Smith,ARKANSAS,"Play It Again Sports, Fort Smith, ARKANSAS",https://www.playitagainsports.com/locations/fort-smith-ar,"(35.3279865, -94.40361419999999)",35.3279865,-94.40361419999999
16,Play It Again Sports,Jonesboro,ARKANSAS,"Play It Again Sports, Jonesboro, ARKANSAS",https://www.playitagainsports.com/locations/jonesboro-ar,"(35.8204943, -90.67624040000001)",35.8204943,-90.67624040000001
17,Snow Mountain,Auburn,CALIFORNIA,"Snow Mountain, Auburn, CALIFORNIA",https://www.snowmountainrentals.net/,"(38.9046799, -121.066015)",38.9046799,-121.066015
18,Mammoth Gear Exchange﻿,Bishop,CALIFORNIA,"Mammoth Gear Exchange﻿, Bishop, CALIFORNIA",http://mammothgear.com/27/Consignment/,"(37.3613967, -118.3949279)",37.3613967,-118.3949279
